ID,date,tipstar,observed
DRV97T10,1997-09-16,59322.8624520543,67209
DRV97T11,1997-09-16,59346.3184917227,71703
DRV97T12,1997-09-16,59359.1841253471,73481
DRV97T2,1997-09-16,59115.9557786537,64148
DRV97T3,1997-09-16,59323.9422887026,66814
DRV97T4,1997-09-16,59359.6549437876,67604
DRV97T5,1997-08-26,28399.7556964448,37037
DRV97T6,1997-08-26,50949.6160331609,55901
DRV97T7,1997-08-26,51105.4736719916,59703
DRV97T8,1997-08-26,51119.6626756918,65431
DRV97T9,1997-09-16,59303.5090155138,68296
DRV98T1,1998-09-28,31552.0852710043,46324
DRV98T10,1998-09-28,57634.6912407226,74099
DRV98T11,1998-09-28,62566.0312423376,62999
DRV98T12,1998-09-28,62777.8211549045,70645
DRV98T13,1998-09-28,62836.2268839155,72915
DRV98T14,1998-09-28,62594.2580391922,63295
DRV98T15,1998-09-28,62740.9400728624,70596
DRV98T16,1998-09-28,62810.6377380937,75529
DRV98T17,1998-09-28,62564.4206925573,60828
DRV98T18,1998-09-28,62628.5478601778,62801
DRV98T19,1998-09-28,62775.5774845316,70201
DRV98T2,1998-09-28,62312.7197437788,62604
DRV98T20,1998-09-28,62838.9740473493,75085
DRV98T21,1998-09-28,62564.4206925573,62160
DRV98T22,1998-09-28,62738.9043456201,69412
DRV98T23,1998-09-28,62780.8157760676,75480
DRV98T24,1998-09-28,62810.8552210422,78933
DRV98T3,1998-09-28,62578.1480621138,70201
DRV98T4,1998-09-28,62604.1074953556,79081
DRV98T5,1998-09-28,62547.4424370089,61815
DRV98T6,1998-09-28,62708.0987942758,73704
DRV98T7,1998-09-28,62702.3040867292,73457
DRV98T8,1998-09-28,57252.9818894543,59595
DRV98T9,1998-09-28,57602.2606499046,72471
DRV99T1,1999-10-04,23488.7797666775,38765
DRV99T10,1999-10-04,48796.2064554381,60839
DRV99T11,1999-10-04,48499.7344075512,49827
DRV99T12,1999-10-04,48499.7344075512,51851
DRV99T13,1999-10-04,48733.84890995,58962
DRV99T14,1999-10-04,48815.8598771499,57975
DRV99T15,1999-10-04,48499.7344075512,53037
DRV99T16,1999-10-04,48499.7344075512,52345
DRV99T17,1999-10-04,48712.068019416,58370
DRV99T18,1999-10-04,48792.4545995917,58962
DRV99T2,1999-10-04,48499.7344075512,49925
DRV99T3,1999-10-04,48822.2015401693,57925
DRV99T4,1999-10-04,48823.742298951,54271
DRV99T5,1999-10-04,48499.7344075512,48098
DRV99T6,1999-10-04,48800.785694888,51555
DRV99T7,1999-10-04,48798.9665835861,52641
DRV99T8,1999-10-04,48499.7344075512,46617
DRV99T9,1999-10-04,48796.7455142913,54864
KB009035T1,2000-10-11,62531.9058192083,63449
KB009035T2,2000-10-11,62531.9058192083,57964
KB009035T3,2000-10-10,57352.563321316,67956
kb009036T1,2000-10-03,20712.3845112906,49559.6
kb009036T10,2000-10-03,36589.9844664322,53031.1
kb009036T11,2000-10-03,71979.9988437891,64033.7
kb009036T12,2000-10-03,78420.6249133916,63761.5
kb009036T2,2000-10-03,37207.3910177338,51904.1
kb009036T3,2000-10-03,51223.933724594,64658.9
